iter	Passed	Remaining
0	4	474
1	8	412
2	12	399
3	15	374
4	19	365
5	22	357
6	26	357
7	31	357
8	34	351
9	38	345
10	41	339
11	45	336
12	50	335
13	53	329
14	57	323
15	62	327
16	66	322
17	69	317
18	73	312
19	76	307
20	80	301
21	84	298
22	87	293
23	91	289
24	95	287
25	99	282
26	103	280
27	107	276
28	111	273
29	115	269
30	118	264
31	122	260
32	125	255
33	129	250
34	133	247
35	136	243
36	140	239
37	144	234
38	147	230
39	151	226
40	154	222
41	156	215
42	159	211
43	162	207
44	166	203
45	170	199
46	173	195
47	176	191
48	180	187
49	183	183
50	186	179
51	190	175
52	193	172
53	197	168
54	200	163
55	203	159
56	207	156
57	210	152
58	213	148
59	217	144
60	220	141
61	224	137
62	227	133
63	231	130
64	234	126
65	238	122
66	241	119
67	245	115
68	248	111
69	252	108
70	255	104
71	259	100
72	262	97
73	266	93
74	270	90
75	273	86
76	277	82
77	281	79
78	284	75
79	288	72
80	291	68
81	295	64
82	299	61
83	303	57
84	307	54
85	311	50
86	315	47
87	321	43
88	325	40
89	329	36
90	332	32
91	337	29
92	341	25
93	345	22
94	348	18
95	352	14
96	356	11
97	360	7
98	363	3
99	368	0
