iter	Passed	Remaining
0	136	135875
1	137	68710
2	139	46362
3	141	35246
4	143	28528
5	145	24048
6	146	20847
7	149	18593
8	151	16715
9	153	15196
10	155	13968
11	157	12926
12	158	12052
13	160	11306
14	162	10661
15	164	10111
16	166	9613
17	167	9161
18	169	8760
19	171	8398
20	173	8100
21	175	7800
22	177	7536
23	179	7284
24	180	7058
25	182	6843
26	184	6639
27	185	6451
28	187	6280
29	189	6129
30	191	5980
31	193	5840
32	194	5707
33	196	5576
34	198	5462
35	199	5354
36	201	5250
37	203	5162
38	205	5064
39	207	4974
40	208	4883
41	210	4800
42	212	4719
43	213	4646
44	215	4576
45	218	4521
46	219	4451
47	221	4388
48	222	4326
49	224	4266
50	226	4206
51	227	4150
52	229	4097
53	232	4065
54	233	4014
55	235	3968
56	236	3918
57	238	3875
58	240	3835
59	242	3797
60	244	3764
61	246	3722
62	247	3685
63	249	3646
64	250	3607
65	252	3571
66	254	3540
67	255	3507
68	257	3476
69	259	3449
70	261	3420
71	263	3389
72	264	3362
73	266	3334
74	268	3314
75	270	3287
76	271	3260
77	273	3234
78	275	3213
79	277	3189
80	278	3165
81	280	3141
82	281	3110
83	283	3088
84	284	3065
85	286	3044
86	288	3024
87	290	3007
88	291	2988
89	293	2967
90	295	2951
91	297	2933
92	298	2915
93	300	2896
94	302	2878
95	303	2861
96	305	2844
97	307	2827
98	308	2809
99	310	2793
100	311	2776
101	313	2759
102	315	2744
103	316	2728
104	318	2714
105	320	2704
106	322	2690
107	324	2678
108	325	2663
109	327	2648
110	329	2636
111	330	2622
112	332	2610
113	334	2602
114	336	2591
115	338	2578
116	339	2562
117	340	2548
118	342	2535
119	344	2524
120	346	2513
121	347	2498
122	349	2491
123	351	2481
124	352	2470
125	354	2458
126	355	2446
127	357	2436
128	359	2426
129	360	2415
130	362	2404
131	364	2397
132	366	2388
133	367	2378
134	369	2369
135	371	2358
136	372	2348
137	374	2339
138	376	2329
139	377	2320
140	380	2315
141	381	2304
142	383	2295
143	384	2286
144	387	2282
145	388	2273
146	390	2263
147	391	2254
148	393	2245
149	395	2239
150	397	2233
151	399	2226
152	400	2218
153	402	2209
154	403	2201
155	405	2195
156	407	2188
157	409	2180
158	411	2175
159	412	2167
160	413	2157
161	415	2149
162	417	2142
163	418	2134
164	420	2127
165	421	2119
166	423	2112
167	425	2108
168	427	2102
169	429	2096
170	430	2088
171	432	2081
172	433	2074
173	435	2066
174	436	2059
175	438	2053
176	440	2048
177	442	2042
178	443	2035
179	445	2028
180	446	2022
181	448	2015
182	449	2008
183	451	2001
184	452	1995
185	454	1990
186	456	1984
187	458	1979
188	459	1972
189	461	1966
190	462	1960
191	464	1954
192	466	1948
193	467	1942
194	469	1936
195	471	1934
196	473	1930
197	475	1924
198	476	1919
199	478	1913
200	480	1908
201	481	1902
202	483	1896
203	485	1892
204	486	1887
205	488	1883
206	490	1879
207	492	1873
208	493	1868
209	495	1864
210	497	1859
211	498	1853
212	501	1851
213	502	1846
214	504	1841
215	505	1836
216	507	1831
217	509	1826
218	510	1821
219	512	1816
220	514	1812
221	516	1809
222	517	1804
223	519	1799
224	520	1794
225	522	1789
226	524	1784
227	525	1779
228	526	1774
229	528	1769
230	530	1765
231	532	1761
232	533	1756
233	535	1751
234	536	1746
235	538	1742
236	539	1737
237	541	1732
238	542	1727
239	544	1722
240	546	1720
241	547	1715
242	549	1711
243	551	1708
244	553	1704
245	554	1700
246	556	1695
247	557	1691
248	559	1687
249	561	1684
250	563	1680
251	564	1675
252	566	1671
253	567	1667
254	569	1663
255	570	1658
256	572	1655
257	574	1651
258	576	1648
259	577	1644
260	579	1640
261	581	1636
262	582	1632
263	584	1629
264	586	1625
265	587	1621
266	589	1618
267	591	1615
268	593	1611
269	595	1608
270	596	1605
271	598	1601
272	600	1598
273	601	1594
274	603	1590
275	604	1586
276	607	1584
277	609	1582
278	610	1578
279	612	1574
280	613	1570
281	615	1566
282	616	1563
283	618	1559
284	620	1555
285	622	1553
286	623	1549
287	625	1545
288	626	1541
289	628	1538
290	629	1534
291	631	1530
292	632	1527
293	634	1523
294	636	1520
295	637	1517
296	639	1513
297	640	1509
298	642	1506
299	644	1502
300	645	1499
301	647	1496
302	649	1493
303	651	1492
304	653	1489
305	655	1485
306	656	1482
307	658	1479
308	663	1483
309	665	1480
310	667	1478
311	669	1475
312	670	1472
313	672	1469
314	674	1466
315	676	1463
316	677	1460
317	679	1457
318	681	1455
319	683	1452
320	685	1449
321	687	1446
322	688	1443
323	690	1440
324	692	1437
325	694	1435
326	696	1433
327	698	1431
328	700	1428
329	701	1424
330	703	1421
331	704	1418
332	706	1414
333	707	1411
334	709	1408
335	711	1405
336	713	1403
337	714	1400
338	716	1396
339	717	1393
340	719	1390
341	720	1387
342	722	1383
343	724	1380
344	725	1377
345	727	1375
346	729	1372
347	730	1369
348	732	1366
349	734	1363
350	735	1360
351	737	1357
352	738	1354
353	740	1351
354	742	1349
355	744	1346
356	746	1344
357	747	1340
358	749	1338
359	751	1335
360	753	1333
361	756	1332
362	758	1331
363	760	1328
364	762	1326
365	763	1323
366	765	1320
367	767	1318
368	769	1316
369	771	1314
370	773	1311
371	775	1309
372	777	1306
373	779	1304
374	780	1301
375	782	1298
376	784	1295
377	786	1293
378	788	1291
379	790	1288
380	791	1286
381	793	1284
382	795	1282
383	797	1279
384	799	1277
385	802	1276
386	804	1273
387	805	1271
388	807	1268
389	809	1265
390	811	1263
391	812	1260
392	814	1258
393	816	1256
394	818	1253
395	820	1250
396	822	1249
397	824	1246
398	825	1244
399	827	1241
400	829	1238
401	831	1236
402	833	1234
403	835	1232
404	837	1230
405	838	1227
406	840	1224
407	842	1222
408	843	1219
409	845	1216
410	847	1214
411	849	1211
412	850	1209
413	852	1206
414	854	1203
415	855	1201
416	857	1198
417	858	1195
418	860	1193
419	862	1190
420	863	1187
421	865	1185
422	866	1182
423	868	1179
424	869	1176
425	871	1174
426	872	1171
427	874	1168
428	875	1165
429	878	1163
430	879	1161
431	881	1159
432	883	1156
433	885	1154
434	887	1152
435	888	1149
436	890	1147
